post,pre
6221,18
18,4
4,3
3,7
7,2505
2505,24
24,4
4,4
4,4
4,3
3,6
6,1862
1862,6
6,11
11,9
9,5
5,5181
5181,3
3,4
4,9
9,3
3,4
4,14
14,9
9,4
4,4
4,3
3,4
4,71
71,16
16,182
182,4
4,2800
2800,6
6,4
4,9
9,271
271,16
16,4
4,3
3,4
4,4
4,3611
3611,9
9,10
10,346
346,3
3,5
5,3
3,8
8,4
4,4
4,5
5,4
4,4
4,4
4,5393
5393,4226
4226,16
16,1789
1789,8
8,179
179,1521
1521,3
3,3
3,6
6,5
5,11
11,4
4,7
7,9
9,5
5,4
4,2
2,10
10,1154
1154,4
4,4
4,11
11,10
10,4
4,3
3,1871
1871,4
4,4082
4082,2596
2596,1898
1898,4
4,3
3,4450
4450,6
6,802
802,1473
1473,10
10,591
591,3949
3949,242
242,2
2,3
3,10
10,6
6,7
7,5
5,755
755,14
14,5
5,8
8,829
829,2220
2220,3
3,2
2,10
10,2891
2891,1383
1383,4662
4662,5470
5470,11
11,916
916,5
5,5
5,1003
1003,4
4,21
21,963
963,3
3,378
378,6
6,3
3,1
1,3
3,10
10,332
332,28
28,19
19,6709
6709,6
6,1347
1347,4
4,10
10,3
3,1
1,8
8,3
3,9
9,56
56,1
1,2
2,0
0,5
5,4
4,1
1,5
5,163
163,3773
3773,1
1,1819
1819,6
6,13
13,392
392,946
946,5
5,5
5,556
556,4
4,7
7,7
7,6
6,26
26,563
563,10
10,4
4,2
2,7
7,22
22,5
5,5
5,7
7,206755
206755,9
9,8
8,12384
12384,5
5,8
8,3
3,9
9,147
147,5
5,6
6,1566
1566,32
32,6
6,3
3,1416
1416,5
5,5669
5669,10
10,1
1,7
7,3
3,4
4,12
12,3
3,86
86,11
11,2
2,3
3,4
4,3
3,4
4,2295
2295,609
609,42
42,6
6,4
4,6679
6679,11
11,4
4,9
9,1213
1213,4
4,2142
2142,5
5,4
4,1269
1269,429
429,8
8,456
456,47
47,2679
2679,5
5,16
16,2112
2112,323
323,2
2,3
3,2
2,5
5,3
3,3
3,34
34,3
3,6279
6279,7
7,6
6,5
5,10
10,5
5,80
80,4
4,511
511,2
2,136
136,3608
3608,12
12,11
11,3
3,6
6,3
3,3
3,4
4,1434
1434,167
167,9
9,2
2,4978
4978,605
605,22
22,8
8,3
3,5
5,6
6,3
3,439
439,8
8,4
4,10
10,3
3,831
831,6
6,87
87,19
19,4
4,3
3,4
4,3
3,5
5,4
4,26
26,2
2,2
2,2919
2919,15
15,3
3,3266
3266,2
2,2
2,2
2,1460
1460,8
8,11
11,9
9,2
2,6
6,5
5,83
83,3
3,2
2,163
163,3
3,2
2,4
4,3
3,1474
1474,6
6,12
12,3
3,4
4,3397
3397,4
4,3
3,7
7,5741
5741,1402
1402,10
10,12
12,15
15,14
14,5
5,3
3,3
3,2
2,4
4,4
4,10
10,4
4,11
11,4
4,2
2,5
5,3
3,5
5,4
4,41673
41673,3
3,3
3,4
4,5
5,3
3,4
4,4
4,5
5,5
5,4
4,3
3,2
2,1
1,4
4,3
3,3
3,2
2,7
7,4
4,4
4,1
1,5
5,4622
4622,3
3,4
4,3
3,25
25,30
30,21
21,8
8,3785
3785,2
2,5
5,4
4,5
5,3
3,7
7,5
5,3
3,5
5,5
5,1
1,4
4,21025
21025,4
4,5
5,4
4,4
4,708
708,1900
1900,32
32,5176
5176,58
58,12
12,11
11,5
5,301
301,8
8,4
4,4
4,33
33,4
4,4
4,2
2,6
6,4
4,4
4,0
0,11
11,4
4,9
9,4
4,4
4,49
49,4
4,6
6,4
4,985
985,7
7,4
4,8
8,2856
2856,480
480,959
959,3
3,2
2,4
4,392
392,9
9,3
3,15
15,49
49,935
935,4
4,6
6,4
4,48
48,4
4,8
8,32
32,63
63,5
5,2
2,3
3,129
129,882
882,49
49,203
203,9
9,4
4,9
9,10
10,159
159,22
22,6
6,5
5,3
3,5
5,6
6,5
5,5
5,6
6,3
3,4
4,3
3,4
4,4
4,2
2,4
4,6
6,2478
2478,9
9,1
1,11
11,4
4,3
3,10
10,879
879,553
553,2
2,5
5,2
2,3
3,674
674,2207
2207,1547
1547,1944
1944,11
11,5
5,882
882,51
51,82
82,3
3,1
1,1158
1158,737
737,6
6,3
3,5
5,5
5,5
5,4
4,2
2,4
4,2
2,5
5,7
7,3
3,2
2,4
4,9
9,3
3,5
5,3
3,41
41,56
56,494
494,2
2,6
6,3
3,761
761,4
4,7
7,88
88,926
926,11
11,2
2,196
196,9
9,6
6,8
8,4192
4192,7
7,2621
2621,5
5,4
4,3
3,44
44,7
7,4
4,4
4,6
6,4
4,1206
1206,1495
1495,35
35,5
5,15
15,5
5,2
2,5
5,5
5,4
4,5
5,4
4,13
13,6
6,5652
5652,6
6,28
28,117
117,5
5,8
8,509
509,5
5,12
12,21
21,618
618,51
51,4
4,5
5,2
2,34
34,2
2,4
4,2
2,2
2,2
2,2
2,4
4,10
10,2
2,3
3,6
6,3
3,216
216,1195
1195,487
487,3
3,5
5,1
1,9
9,39
39,166
166,8
8,70
70,4
4,7
7,168
168,307
307,61
61,58
58,4
4,61
61,2
2,5
5,6
6,106
106,126
126,2
2,5
5,4
4,4
4,5
5,8
8,9
9,25
25,5
5,2
2,9
9,3
3,4
4,5
5,5
5,3
3,8
8,3
3,9
9,15
15,4
4,139
139,3
3,3
3,5
5,3
3,3
3,646
646,79
79,10
10,4
4,5
5,3
3,4
4,5
5,4
4,20
20,5
5,18
18,9
9,9
9,6
6,1
1,115
115,134
134,7
7,3
3,6
6,4
4,2
2,3
3,3
3,5
5,4
4,72
72,8
8,7
7,4
4,6
6,4
4,4
4,2
2,6
6,1
1,5
5,5
5,7
7,5
5,4
4,3
3,3
3,10
10,22
22,2
2,3
3,790
790,4
4,4
4,5
5,4
4,3
3,6
6,2
2,5
5,14
14,4
4,3
3,5
5,9
9,4
4,6
6,5
5,3
3,5
5,3
3,4
4,6
6,5
5,36
36,382
382,3
3,4
4,66
66,6
6,6
6,3
3,5
5,3
3,5
5,98899
98899,6
6,4
4,8
8,4
4,8
8,7
7,307
307,9
9,14
14,1184
1184,13222
13222,483
483,17
17,45
45,3764
3764,1220
1220,23
23,6
6,4
4,16
16,14
14,139
139,15
15,15
15,17
17,1704
1704,30
30,5232
5232,1340
1340,6
6,59
59,95
95,20
20,150
150,1011
1011,18
18,4
4,0
0,14
14,211
211,249
249,2751
2751,1374
1374,110
110,1361
1361,13
13,4
4,1208
1208,348
348,5651
5651,1
1,4397
4397,1751
1751,5353
5353,23
23,17
17,2764
2764,67
67,2
2,6
6,10
10,97
97,7
7,1817
1817,5311
5311,3
3,11
11,4
4,41
41,236
236,1348
1348,43
43,1210
1210,2480
2480,61
61,750
750,5542
5542,1154
1154,10
10,5
5,11
11,57
57,56
56,1807
1807,2484
2484,16
16,249
249,4
4,19
19,6
6,10
10,7
7,51
51,14
14,2679
2679,21
21,4
4,1112
1112,6
6,25
25,5
5,3
3,16
16,68
68,6
6,1379
1379,13
13,23
23,9
9,10
10,25
25,153
153,5787
5787,18
18,15
15,3
3,15
15,12
12,3
3,24
24,15
15,9
9,114
114,43
43,828
828,13
13,33
33,129
129,192
192,20
20,952
952,5
5,46
