post,pre
4,6
6,4
4,3
3,106
106,2
2,4
4,4
4,5
5,4
4,4
4,4
4,4
4,4
4,4
4,883
883,3
3,4
4,3
3,4
4,4
4,4
4,4
4,4
4,5
5,4
4,6
6,3
3,4
4,4
4,4
4,5
5,3
3,537
537,4
4,5
5,4
4,2475
2475,3
3,354
354,6
6,5
5,4
4,3
3,4
4,7
7,5
5,4
4,5
5,8
8,857
857,4
4,5
5,5
5,5
5,155
155,9
9,45
45,6
6,4
4,4
4,11
11,5
5,4
4,6
6,5
5,5
5,5
5,5
5,209
209,5
5,5
5,5
5,3
3,92
92,13
13,836
836,4
4,5
5,6
6,5
5,13
13,5
5,63
63,5
5,6
6,5
5,5
5,5
5,5
5,5
5,9
9,5
5,23
23,1255
1255,5
5,5
5,5
5,8
8,5
5,6
6,5
5,3
3,6
6,4
4,6
6,5
5,4
4,5
5,5
5,6
6,4
4,4
4,6
6,5
5,6
6,5
5,7
7,3
3,4
4,7
7,4
4,3
3,6
6,4
4,1736
1736,5
5,5
5,6
6,4
4,5
5,6
6,5
5,5
5,5
5,4
4,115
115,4
4,8
8,5
5,4
4,3
3,5
5,3
3,6
6,4
4,4
4,4
4,4
4,4
4,4
4,2
2,4
4,7
7,11
11,4
4,4
4,6
6,4
4,4
4,2
2,7
7,3
3,5
5,3
3,7
7,4
4,5
5,616
616,6
6,5
5,5
5,15
15,3
3,4
4,4
4,5
5,4
4,4
4,5
5,5
5,5
5,4
4,1
1,3
3,7
7,4
4,4
4,3
3,4
4,6
6,4
4,6
6,5
5,14
14,5
5,4
4,5
5,10
10,5
5,5
5,4
4,6
6,4
4,4
4,372
372,12
12,4
4,4
4,5
5,154
154,5
5,1269
1269,5
5,7
7,4
4,4
4,8
8,4
4,8
8,4
4,750
750,6
6,2
2,3
3,7
7,3
3,4
4,4
4,3
3,4
4,3
3,6
6,5
5,3
3,7
7,4
4,7
7,4
4,673
673,37
37,4
4,4
4,720
720,2
2,5
5,4
4,6
6,10
10,4
4,3
3,8
8,4
4,5
5,5
5,2
2,5
5,1804
1804,5
5,3
3,1869
1869,6
6,981
981,7
7,4
4,4
4,1109
1109,5
5,5
5,7
7,3
3,5
5,4
4,5
5,345
345,150
150,6
6,1381
1381,4
4,6
6,1251
1251,5
5,6
6,5
5,156
156,5
5,4
4,3
3,176
176,5
5,4
4,6
6,5
5,4
4,5
5,5
5,5
5,5
5,4
4,893
893,5
5,4
4,89
89,6
6,5
5,4
4,1364
1364,7
7,420
420,27
27,689
689,1720
1720,7
7,4
4,71
71,3
3,6
6,4
4,4
4,2
2,4
4,4
4,8
8,2764
2764,1728
1728,4
4,3
3,4
4,12
12,1
1,4
4,7
7,5
5,6
6,14
14,7
7,64
64,23
23,10
10,5
5,7
7,4
4,628
628,6
6,5
5,4
4,3
3,23
23,8
8,5
5,912
912,15
15,4130
4130,4
4,5
5,7
7,5
5,4
4,179
179,2
2,1216
1216,12
12,5
5,3
3,3
3,3
3,4
4,3
3,3
3,11
11,646
646,7
7,2
2,7
7,3
3,5
5,5
5,3
3,4
4,7
7,4
4,8
8,5
5,4
4,4
4,1
1,4
4,4
4,3
3,6
6,5
5,3
3,422
422,3
3,5
5,1647
1647,4
4,7
7,5
5,8
8,5
5,64
64,4
4,778
778,5
5,5
5,5
5,6
6,5
5,451
451,4
4,3
3,5
5,5
5,6
6,4
4,5
5,6
6,4
4,5
5,3
3,5
5,7
7,6
6,4
4,9
9,5
5,1524
1524,5
5,3
3,6
6,3
3,5
5,4
4,5
5,4
4,4
4,5
5,4
4,27
27,11
11,3
3,7
7,1014
1014,8
8,5
5,1307
1307,4
4,5
5,10
10,9
9,5
5,248
248,5
5,38
38,3
3,4
4,5
5,4
4,5
5,8
8,4
4,5
5,3
3,5
5,5
5,5
5,6
6,5
5,4
4,6
6,6
6,5
5,3
3,3854
3854,9
9,5
5,5
5,19
19,5
5,6
6,4
4,2818
2818,4
4,1477
1477,4
4,4
4,150
150,1
1,5
5,333
333,12
12,89
89,11
11,10
10,1652
1652,6
6,5
5,6
6,5
5,5
5,87
87,1501
1501,6
6,3
3,3554
3554,8
8,2
2,5
5,6
6,3
3,8
8,2
2,6
6,2
2,4
4,3
3,4
4,7
7,3
3,4
4,4
4,4
4,4
4,6
6,1340
1340,5
5,29
29,417
417,302
302,2
2,3
3,5
5,3
3,6
6,4
4,7
7,5
5,3
3,5
5,4
4,586
586,198
198,7
7,5
5,4
4,5
5,5
5,6
6,4
4,4
4,22
22,19
19,8
8,18
18,4
4,3
3,2
2,3
3,7
7,2
2,5
5,8
8,1023
1023,5
5,19
19,4
4,122
122,128
128,4
4,1084
1084,692
692,5
5,4
4,5
5,6
6,5
5,475
475,6
6,12
12,5
5,5
5,5
5,5
5,7
7,9
9,5
5,5
5,4
4,5
5,117
117,4
4,666
666,5
5,4
4,5
5,5
5,5
5,6
6,5
5,5
5,5
5,6
6,5
5,545
545,5
5,7
7,5
5,5
5,5
5,4
4,5
5,23
23,4197
4197,3
3,7
7,2
2,5
5,4
4,4
4,7
7,4
4,4
4,4
4,4
4,4
4,6
6,5
5,4
4,5
5,5
5,1
1,3
3,4
4,3
3,6
6,4
4,7
7,7
7,6
6,4
4,5
5,3
3,3
3,4
4,5
5,3
3,1581
1581,5
5,6
6,4
4,4
4,3
3,3
3,3
3,3
3,5
5,6
6,3
3,5
5,10
10,5
5,4
4,99
99,3
3,4
4,6
6,3
3,7
7,1321
1321,5
5,4
4,5
5,3
3,5
5,5
5,4
4,4
4,5
5,4
4,3
3,7
7,4
4,3
3,4
4,6
6,3
3,4
4,4
4,4
4,4
4,6
6,5
5,4
4,4
4,4
4,5
5,4
4,4
4,4
4,3
3,22
22,3
3,4
4,10
10,4
4,4
4,5
5,2
2,4
4,5
5,3
3,5
5,5
5,5400
5400,4
4,5
5,2
2,5
5,4
4,7
7,6
6,3
3,5
5,4
4,6
6,5
5,1437
1437,4
4,3
3,4
4,4
4,6
6,2
2,4
4,9
9,5
5,7
7,6
6,978
978,6
6,4
