date,count
2015-02-25,59
2015-02-26,37
2015-02-27,44
2015-02-28,63
2015-03-01,127
2015-03-02,79
2015-03-03,203
2015-03-04,24
2015-03-06,34
2015-03-07,24
2015-03-09,9
2015-03-10,82
2015-03-11,172
2015-03-12,21
2015-03-14,12
2015-03-15,28
2015-03-16,56
2015-03-17,17
2015-03-19,34
2015-03-20,58
2015-03-21,35
2015-03-22,33
2015-03-23,23
2015-03-24,17
2015-03-25,13
2015-03-26,11
2015-03-27,30
2015-03-28,46
2015-03-29,66
2015-03-30,86
2015-03-31,34
2015-04-01,31
2015-04-02,142
2015-04-03,41
2015-04-04,38
2015-04-05,34
2015-04-06,14
2015-04-07,16
2015-04-08,47
2015-04-09,83
2015-04-10,89
2015-04-11,27
2015-04-12,82
2015-04-13,271
2015-04-14,186
2015-04-15,54
2015-04-16,132
2015-04-17,77
2015-04-18,280
2015-04-19,195
2015-04-20,153
2015-04-21,74
2015-04-22,173
2015-04-23,79
2015-04-24,68
2015-04-25,36
2015-04-26,134
2015-04-27,30
2015-04-28,25
2015-04-29,116
2015-04-30,53
2015-05-01,20
2015-05-02,13
2015-05-03,75
2015-05-04,13
2015-05-06,107
2015-05-07,14
2015-05-11,16
2015-05-13,10
2015-05-14,12
2015-05-15,25
2015-05-16,5
2015-05-17,7
2015-05-18,39
2015-05-19,1
2015-05-20,55
2015-05-21,88
2015-05-22,38
2015-05-23,6
2015-05-24,19
2015-05-25,25
2015-05-26,113
2015-05-27,42
2015-05-28,68
2015-05-29,20
2015-05-31,41
2015-06-01,86
2015-06-02,48
2015-06-03,80
2015-06-04,7
2015-06-05,42
2015-06-06,4
2015-06-07,15
2015-06-08,33
2015-06-09,19
2015-06-10,1
2015-06-11,8
2015-06-12,4
2015-06-13,103
2015-06-14,9
2015-06-15,15
2015-06-16,13
2015-06-17,44
2015-06-20,8
2015-06-21,21
2015-06-22,27
2015-06-24,22
2015-06-25,1
2015-06-26,2
2015-06-27,27
2015-06-28,20
2015-06-29,16
2015-07-02,12
2015-07-03,13
2015-07-04,6
2015-07-05,22
2015-07-06,23
2015-07-07,20
2015-07-08,7
2015-07-09,48
2015-07-11,38
2015-07-12,33
2015-07-13,7
2015-07-16,13
2015-07-17,14
2015-07-18,45
2015-07-19,48
2015-07-20,15
2015-07-21,11
2015-07-22,28
2015-07-23,16
2015-07-27,6
2015-07-28,1
2015-07-29,3
2015-07-30,10
2015-07-31,46
2015-08-01,36
2015-08-02,1
2015-08-03,7
2015-08-05,20
2015-08-06,22
2015-08-07,24
2015-08-08,25
2015-08-09,53
2015-08-10,31
2015-08-11,14
2015-08-12,23
2015-08-13,71
2015-08-14,22
2015-08-15,36
2015-08-16,33
2015-08-17,2
2015-08-18,17
2015-08-20,49
2015-08-21,40
2015-08-22,109
2015-08-23,28
2015-08-24,24
2015-08-25,1
2015-08-26,56
2015-08-27,85
2015-08-28,16
2015-08-29,54
2015-08-30,26
2015-08-31,73
2015-09-01,40
2015-09-02,8
2015-09-04,33
2015-09-05,15
2015-09-06,41
2015-09-08,43
2015-09-09,27
2015-09-10,9
2015-09-11,18
2015-09-12,53
2015-09-13,48
2015-09-14,58
2015-09-15,34
2015-09-16,42
2015-09-17,58
2015-09-18,11
2015-09-19,38
2015-09-20,59
2015-09-21,71
2015-09-22,50
2015-09-23,2
2015-10-01,14
2015-10-02,32
2015-10-03,14
2015-10-04,5
2015-10-05,35
2015-10-06,2
2015-10-07,3
2015-10-09,54
2015-10-10,75
2015-10-11,86
2015-10-12,72
2015-10-13,34
2015-10-14,55
2015-10-15,8
2015-10-18,78
2015-10-19,16
2015-10-20,60
2015-10-21,6
2015-10-22,22
2015-10-24,3
2015-10-25,49
2015-10-26,13
2015-10-27,49
2015-10-28,35
2015-10-29,44
2015-10-30,67
2015-10-31,17
2015-11-01,32
2015-11-02,8
2015-11-03,45
2015-11-04,3
2015-11-05,54
2015-11-06,48
2015-11-07,32
2015-11-08,41
2015-11-09,37
2015-11-10,26
2015-11-11,116
2015-11-12,153
2015-11-13,3
2015-11-14,68
2015-11-15,71
2015-11-16,11
2015-11-17,7
2015-11-18,2
2015-11-22,8
2015-11-23,6
2015-11-24,2
2015-11-27,2
2015-12-01,16
2015-12-02,5
2015-12-04,36
2015-12-05,27
2015-12-06,1
2015-12-07,38
2015-12-08,10
2016-01-05,35
2016-01-06,58
2016-01-07,36
2016-01-08,128
2016-01-09,87
2016-01-10,80
2016-01-11,62
2016-01-12,60
2016-01-13,51
2016-01-14,26
2016-01-15,39
2016-01-16,12
2016-01-17,29
2016-01-18,5
2016-01-19,60
2016-01-20,98
2016-01-21,35
2016-01-22,51
2016-01-23,65
2016-01-24,41
2016-01-25,41
2016-01-26,40
2016-01-27,40
2016-01-28,61
2016-01-29,11
2016-01-30,55
2016-01-31,106
2016-02-01,40
2016-02-02,10
2016-02-03,14
2016-02-04,41
2016-02-05,33
2016-02-06,30
2016-02-07,46
2016-02-08,25
2016-02-09,39
2016-02-11,32
2016-02-12,10
2016-02-13,18
2016-02-14,61
2016-02-15,73
2016-02-16,49
2016-02-17,51
2016-02-18,21
2016-02-19,34
2016-02-20,19
2016-02-21,17
2016-02-22,17
2016-02-23,58
2016-02-24,20
2016-02-25,121
2016-02-26,101
2016-02-27,58
2016-02-28,115
2016-02-29,107
2016-03-01,40
2016-03-02,151
2016-03-03,32
2016-03-04,57
2016-03-05,69
2016-03-06,12
2016-03-07,3
2016-03-08,25
2016-03-09,54
2016-03-10,13
2016-03-11,5
2016-03-12,26
2016-03-13,26
2016-03-28,9
2016-03-29,64
2016-03-30,89
2016-03-31,81
2016-04-01,119
2016-04-02,70
2016-04-03,31
2016-04-04,12
2016-04-06,2
2016-04-09,5
2016-04-10,13
2016-04-11,32
2016-04-13,34
2016-04-14,51
2016-04-15,12
2016-04-16,7
2016-04-18,65
2016-04-19,20
2016-04-20,27
2016-04-22,1
2016-04-23,6
2016-04-26,7
2016-05-08,40
2016-05-09,63
2016-05-10,21
2016-05-11,22
2016-05-12,1
2016-05-13,5
2016-05-15,4
2016-05-17,12
2016-05-18,1
2016-05-21,1
2016-05-26,1
2016-06-01,6
2016-06-02,4
2016-06-12,4
2016-06-26,1
2016-06-28,2
2016-07-02,41
2016-07-03,1
2016-07-04,7
2016-07-05,13
2016-07-06,13
2016-07-11,9
2016-07-15,28
2016-07-21,7
2016-07-23,19
2016-07-24,21
2016-07-25,10
2016-07-26,11
2016-07-27,36
2016-07-28,1
2016-07-29,33
2016-07-30,4
2016-07-31,1
2016-08-02,10
2016-08-04,22
2016-08-05,24
2016-08-06,10
2016-08-07,3
2016-08-09,1
2016-08-10,6
2016-08-11,1
2016-08-12,18
2016-08-13,1
2016-08-14,3
2016-08-15,10
2016-08-16,20
2016-08-17,5
2016-08-18,1
2016-08-19,21
2016-08-22,6
2016-08-23,2
2016-08-24,2
2016-08-25,2
2016-08-27,10
2016-08-28,3
2016-08-30,3
2016-09-02,4
2016-09-03,10
2016-09-04,16
2016-09-05,9
2016-09-06,17
2016-09-07,2
2016-09-08,4
2016-09-10,5
2016-09-12,1
2016-09-13,13
2016-09-14,6
2016-09-15,19
2016-09-16,18
2016-09-18,12
2016-09-19,15
2016-09-22,10
2016-09-23,8
2016-09-24,12
2016-09-25,34
2016-09-27,2
2016-09-30,47
2016-10-01,59
2016-10-02,40
2016-10-04,5
2016-10-05,32
2016-10-07,15
2016-10-08,25
2016-10-09,18
2016-10-10,14
2016-10-11,3
2016-10-12,6
2016-10-13,22
2016-10-14,24
2016-10-15,3
2016-10-16,2
2016-10-17,33
2016-10-18,19
2016-10-19,18
2016-10-20,9
2016-10-21,14
