date,count
2016-08-27,3
2016-08-28,1
2016-08-30,1
2016-09-02,2
2016-09-03,7
2016-09-04,13
2016-09-05,3
2016-09-07,2
2016-09-10,1
2016-09-13,11
2016-09-14,3
2016-09-16,10
2016-09-18,4
2016-09-19,12
2016-09-22,5
2016-09-23,3
2016-09-24,4
2016-09-25,5
2016-09-30,21
2016-10-01,5
2016-10-02,1
2016-10-04,4
2016-10-05,4
2016-10-07,1
2016-10-08,4
2016-10-09,3
2016-10-10,10
2016-10-11,3
2016-10-12,1
2016-10-14,1
2016-10-16,1
2016-10-18,17
2016-10-19,4
2016-10-23,5
2016-10-25,13
2016-10-27,5
2016-10-28,24
2016-10-30,3
2016-10-31,1
2016-11-01,20
2016-11-02,1
2016-11-04,4
2016-11-08,8
2016-11-09,4
2016-11-10,16
2016-11-13,3
2016-11-15,18
2016-11-16,2
2016-11-17,3
2016-11-19,7
2016-11-22,2
2016-11-24,5
2016-11-25,6
2016-11-28,1
2016-11-30,4
2016-12-03,16
2016-12-04,1
2016-12-12,2
2017-01-16,32
2017-01-17,12
2017-01-18,2
2017-01-19,5
2017-01-20,27
2017-01-21,9
2017-01-23,1
2017-01-25,10
2017-01-27,3
2017-01-31,13
2017-02-02,13
2017-02-03,1
2017-02-04,3
2017-02-05,4
2017-02-08,5
2017-02-10,1
2017-02-14,2
2017-02-18,8
2017-02-20,8
2017-02-22,18
2017-02-23,1
2017-02-26,2
2017-03-02,1
2017-03-03,3
2017-03-04,2
2017-03-06,8
2017-03-08,1
2017-03-10,1
2017-03-13,3
2017-03-14,1
2017-03-16,5
2017-03-17,1
2017-03-18,6
2017-03-19,4
2017-03-20,2
2017-03-21,3
2017-03-24,3
2017-03-25,13
2017-03-26,4
2017-03-27,7
2017-04-02,2
2017-04-03,7
2017-04-04,6
2017-04-05,1
2017-04-07,1
2017-04-11,1
2017-04-13,1
2017-04-15,4
2017-04-16,2
2017-04-17,1
2017-04-18,1
2017-04-21,8
2017-04-26,6
2017-04-30,8
2017-05-06,1
2017-05-10,1
2017-05-11,8
2017-05-13,9
2017-05-20,3
2017-05-21,1
2017-05-24,1
2017-05-25,1
2017-05-26,11
2017-05-27,4
2017-05-28,3
