date,count
2015-07-25,2
2015-07-27,3
2015-07-28,3
2015-07-29,1
2015-07-30,5
2015-07-31,3
2015-08-01,3
2015-08-02,2
2015-08-03,5
2015-08-04,4
2015-08-05,38
2015-08-06,4
2015-08-07,4
2015-08-08,2
2015-08-10,3
2015-08-11,4
2015-08-12,6
2015-08-13,5
2015-08-14,4
2015-08-15,1
2015-08-17,4
2015-08-18,3
2015-08-19,5
2015-08-20,3
2015-08-21,5
2015-08-22,2
2015-08-24,6
2015-08-25,6
2015-08-26,2
2015-08-27,6
2015-08-28,4
2015-08-29,2
2015-08-31,4
2015-09-01,3
2015-09-02,4
2015-09-03,4
2015-09-04,6
2015-09-05,2
2015-09-07,4
2015-09-08,4
2015-09-09,6
2015-09-10,4
2015-09-11,2
2015-09-12,2
2015-09-14,4
2015-09-15,3
2015-09-16,4
2015-09-17,4
2015-09-18,5
2015-09-19,2
2015-09-21,4
2015-09-22,4
2015-09-23,6
2015-09-24,5
2015-09-25,4
2015-09-26,2
2015-09-27,1
2015-09-28,4
2015-09-29,4
2015-09-30,8
2015-10-01,4
2015-10-02,4
2015-10-03,3
2015-10-05,4
2015-10-06,4
2015-10-07,6
2015-10-08,4
2015-10-09,1
2015-10-10,2
2015-10-13,4
2015-10-14,5
2015-10-15,5
2015-10-16,4
2015-10-17,2
2015-10-19,4
2015-10-20,5
2015-10-21,2
2015-10-22,2
2015-10-23,1
2015-10-24,1
2015-10-26,2
2015-10-27,5
2015-10-28,6
2015-10-29,4
2015-10-30,5
2015-10-31,4
2015-11-01,5
2015-11-02,5
2015-11-03,3
2015-11-04,3
2015-11-05,5
2015-11-06,13
2015-11-07,2
2015-11-09,17
2015-11-10,4
2015-11-11,2
2015-11-12,4
2015-11-13,3
2015-11-14,1
2015-11-16,3
2015-11-17,3
2015-11-18,4
2015-11-19,5
2015-11-20,5
2015-11-21,2
2015-11-23,4
2015-11-24,2
2015-11-25,3
2015-11-26,3
2015-11-27,3
2015-11-28,1
2015-11-30,6
2015-12-01,4
2015-12-02,2
2015-12-03,1
2015-12-04,4
2015-12-05,2
2015-12-07,5
2015-12-08,4
2015-12-09,7
2015-12-10,5
2015-12-11,4
2015-12-12,2
2015-12-13,1
2015-12-14,3
2015-12-15,5
2015-12-16,4
2015-12-17,5
2015-12-18,7
2015-12-19,3
2015-12-20,1
2015-12-21,5
2015-12-22,3
2015-12-23,2
2015-12-24,2
2015-12-25,2
2015-12-26,2
2015-12-28,4
2015-12-29,4
2015-12-30,4
2015-12-31,7
2016-01-01,4
2016-01-04,3
2016-01-05,15
2016-01-06,4
2016-01-07,5
2016-01-08,12
2016-01-09,3
2016-01-10,1
2016-01-11,5
2016-01-12,5
2016-01-13,59
2016-01-14,5
2016-01-15,7
2016-01-16,2
2016-01-17,1
2016-01-18,1
2016-01-19,3
2016-01-20,6
2016-01-21,5
2016-01-22,4
2016-01-23,2
2016-01-25,4
2016-01-26,4
2016-01-27,4
2016-01-28,4
2016-01-29,8
2016-01-30,4
2016-01-31,4
2016-02-02,4
2016-02-03,3
2016-02-04,5
2016-02-05,5
2016-02-06,2
2016-02-08,4
2016-02-09,4
2016-02-10,3
2016-02-11,4
2016-02-12,6
2016-02-13,2
2016-02-14,2
2016-02-16,1
2016-02-17,3
2016-02-18,3
2016-02-19,2
2016-02-20,1
2016-02-21,2
2016-02-22,4
2016-02-23,4
2016-02-24,4
2016-02-25,3
2016-02-26,9
2016-02-29,6
2016-03-01,5
2016-03-02,4
2016-03-03,6
2016-03-04,6
2016-03-06,1
2016-03-07,4
2016-03-08,5
2016-03-09,4
2016-03-10,5
2016-03-11,4
2016-03-14,4
2016-03-15,4
2016-03-16,3
2016-03-17,5
2016-03-18,4
2016-03-19,2
2016-03-21,3
2016-03-22,1
2016-03-23,7
2016-03-24,5
2016-03-25,6
2016-03-27,1
2016-03-28,4
2016-03-29,5
2016-03-30,5
2016-03-31,6
2016-04-01,4
2016-04-04,4
2016-04-05,5
2016-04-06,5
2016-04-07,7
2016-04-08,4
2016-04-11,5
2016-04-12,8
2016-04-13,5
2016-04-14,3
2016-04-15,2
2016-04-18,5
2016-04-19,4
2016-04-20,4
2016-04-21,2
2016-04-22,9
2016-04-23,3
2016-04-25,4
2016-04-26,4
2016-04-27,5
2016-04-28,4
2016-04-29,2
2016-04-30,3
2016-05-01,3
2016-05-02,4
2016-05-03,4
2016-05-04,4
2016-05-05,4
2016-05-06,5
2016-05-08,1
2016-05-09,3
2016-05-10,4
2016-05-11,3
2016-05-12,4
2016-05-13,6
2016-05-16,5
2016-05-17,4
2016-05-18,7
2016-05-19,4
2016-05-20,4
2016-05-21,2
2016-05-22,1
2016-05-23,3
2016-05-24,5
2016-05-25,4
2016-05-26,3
2016-05-27,3
2016-05-29,1
2016-05-30,2
2016-05-31,4
2016-06-01,10
2016-06-02,7
2016-06-03,4
2016-06-04,1
2016-06-06,4
2016-06-07,5
2016-06-08,1
2016-06-10,5
2016-06-12,2
2016-06-13,1
2016-06-17,3
2016-06-18,3
2016-06-19,2
2016-06-20,3
2016-06-21,5
2016-06-22,4
2016-06-23,6
2016-06-24,6
2016-06-25,2
2016-06-26,6
2016-06-27,7
2016-06-28,4
2016-06-29,2
2016-06-30,4
2016-07-01,8
2016-07-02,1
2016-07-03,1
2016-07-04,1
2016-07-07,1
2016-07-08,1
2016-07-12,2
2016-07-13,1
2016-07-14,3
2016-07-15,1
2016-07-17,1
2016-07-18,3
2016-07-19,1
2016-07-20,3
2016-07-21,4
2016-07-22,2
2016-07-23,2
2016-07-25,6
2016-07-26,5
2016-07-27,3
2016-07-28,4
2016-07-29,4
2016-07-30,3
2016-08-01,4
2016-08-02,5
2016-08-03,6
2016-08-04,5
2016-08-05,6
2016-08-06,1
2016-08-08,5
2016-08-09,4
2016-08-10,3
2016-08-11,5
2016-08-12,5
2016-08-13,2
2016-08-15,4
2016-08-16,4
2016-08-17,4
2016-08-18,4
2016-08-19,3
2016-08-20,2
2016-08-22,4
2016-08-23,1
2016-08-24,5
2016-08-25,3
2016-08-26,5
2016-08-29,3
2016-08-30,5
2016-08-31,3
2016-09-01,4
2016-09-02,5
2016-09-03,2
2016-09-05,1
2016-09-06,5
2016-09-07,4
2016-09-08,3
2016-09-09,5
2016-09-12,4
2016-09-13,5
2016-09-14,5
2016-09-15,5
2016-09-16,6
2016-09-19,1
2016-09-20,2
2016-09-21,4
2016-09-22,5
2016-09-23,6
2016-09-26,4
2016-09-27,4
2016-09-28,2
2016-09-29,5
2016-09-30,4
2016-10-01,2
2016-10-03,4
2016-10-04,4
2016-10-05,4
2016-10-06,3
2016-10-07,7
2016-10-11,6
2016-10-12,6
2016-10-13,5
2016-10-14,4
2016-10-17,6
2016-10-18,4
2016-10-19,4
2016-10-20,6
2016-10-21,3
2016-10-24,5
2016-10-25,4
2016-10-26,4
2016-10-27,6
2016-10-28,2
2016-10-30,1
2016-10-31,6
2016-11-01,4
2016-11-02,3
2016-11-03,3
2016-11-04,3
2016-11-05,2
2017-01-10,1
2017-01-20,3
2017-01-22,1
2017-02-14,1
2017-02-17,1
2017-03-02,2
2017-03-08,1
2017-03-19,1
2017-03-23,1
2017-04-24,1
2017-05-02,1
2017-05-03,1
2017-05-14,1
2017-05-22,1
2017-05-23,1
2017-05-25,1
2017-05-27,1
2017-05-29,1
2017-06-02,1
2017-06-18,1
