post,pre
103,1044
1044,113
113,96
96,108
108,48
48,1022
1022,47
47,66
66,65
65,40
40,74
74,87
87,1529
1529,1032
1032,229
229,227
227,2535
2535,151
151,1208
1208,84
84,156
156,71
71,1067
1067,41
41,124
124,115
115,50
50,1175
1175,353
353,83
83,1066
1066,84
84,108
108,72
72,1056
1056,91
91,210
210,75
75,3938
3938,56
56,173
173,126
126,1017
1017,97
97,84
84,78
78,134
134,1136
1136,105
105,96
96,90
90,1060
1060,71
71,90
90,116
116,107
107,1046
1046,140
140,121
121,143
143,1147
1147,2761
2761,69
69,75
75,107
107,104
104,97
97,1015
1015,115
115,56
56,95
95,58
58,60
60,1060
1060,91
91,137
137,137
137,1026
1026,63
63,92
92,132
132,95
95,1077
1077,132
132,107
107,168
168,17
17,688
688,3202
3202,68
68,65
65,89
89,38
38,6
6,43
43,68
68,945
945,187
187,155
155,157
157,1065
1065,222
222,84
84,183
183,947
947,266
266,73
73,107
107,992
992,181
181,85
85,82
82,1339
1339,1096
1096,236
236,1477
1477,168
168,1255
1255,106
106,77
77,1130
1130,141
141,130
130,2362
2362,1709
1709,130
130,1342
1342,355
355,995
995,114
114,102
102,122
122,101
101,885
885,188
188,95
95,101
101,75
75,1212
1212,85
85,109
109,1149
1149,80
80,118
118,155
155,1117
1117,108
108,101
101,119
119,2847
2847,59
59,1034
1034,81
81,130
130,105
105,57
57,1027
1027,21
21,90
90,156
156,116
116,1164
1164,120
120,93
93,1152
1152,113
113,127
127,121
121,2528
2528,226
226,75
75,16
16,1097
1097,6
6,385
385,83
83,1008
1008,113
113,78
78,78
78,36
36,32
32,33
33,964
964,126
126,163
163,54
54,89
89,1086
1086,112
112,163
163,133
133,989
989,93
93,107
107,87
87,1179
1179,127
127,126
126,145
145,2606
2606,98
98,1279
1279,93
93,109
109,76
76,1153
1153,58
58,122
122,64
64,92
92,1031
1031,143
143,83
83,22
22,78
78,100
100,1184
1184,104
104,157
157,1399
1399,1112
1112,1749
1749,76
76,962
962,148
148,109
109,29
29,27
27,51
51,79
79,1054
1054,118
118,186
186,77
77,47
47,1014
1014,131
131,51
51,52
52,62
62,77
77,781
781,1
1,3
3,2
2,2
2,1
1,0
0,0
0,1
1,0
0,5
5,4
4,3
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,1
1,1
1,0
0,0
0,1
1,0
0,1
1,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2
2,1
1,1
1,1
1,7
7,61
61,58
58,71
71,101
101,106
106,104
104,105
105,1019
1019,143
143,147
147,130
130,916
916,122
122,1443
1443,199
199,73
73,1128
1128,44
44,66
66,113
113,18
18,21
21,78
78,71
71,97
97,632
632,114
114,7
7,135
135,153
153,72
72,110
110,110
110,1129
1129,95
95,115
115,82
82,1021
1021,55
55,68
68,13
13,17
17,13
13,17
17,7
7,113
113,64
64,5
5,18
18,21
21,47
47,913
913,155
155,184
184,95
95,3949
3949,328
328,1003
1003,61
61,58
58,60
60,119
119,61
61,69
69,80
80,57
57,1068
1068,132
132,94
94,101
101,1137
1137,71
71,122
122,100
100,1102
1102,138
138,127
127,66
66,2676
2676,271
271,1208
1208,73
73,1349
1349,959
959,488
488,59
59,1288
1288,169
169,127
127,1122
1122,63
63,76
76,75
75,55
55,1244
1244,1249
1249,280
280,131
131,1073
1073,104
104,117
117,66
66,4
4,64
64,769
769,316
316,130
130,156
156,95
95,818
818,261
261,136
136,70
70,125
125,1054
1054,59
59,112
112,116
116,92
92,1195
1195,193
193,51
51,1133
1133,1581
