word,x,y
kay,-8.21776863377,4.96544083623
izaak,6.11507202025,-1.11043435731
airships,-14.6884872468,-8.0678953941
prolific,10.4447576221,-2.06408397486
downtown,-9.70587425675,6.35730582374
leghorn,2.12871599883,4.63154066453
blueberries,-19.482219407,3.48475384772
fife,-15.0313202639,-12.8261399704
coldness,11.3736653296,-12.8026900143
bluffs,-12.1970935887,-6.57140212748
lodbroksson,-2.86952096851,-13.2099052277
ignominiously,-7.03144656454,-10.4273816444
jonl,-20.8050347112,4.52955082333
beside,-16.5179583146,5.67897435375
shand,-10.0907004671,13.2925821261
coulisses,-11.339313467,-4.04636016928
toine,-6.52917238639,-13.4215270969
xxxiv,12.8365251398,8.96424859882
unalterable,13.4009713429,-7.80019607365
lapham,5.66660557998,-10.4844887011
rau,15.530520407,7.68149279277
throughly,6.54379253727,-19.2394291039
gern,20.1166297402,6.3591043149
bezons,-8.07460829492,-5.68231908051
unshackled,4.8528293945,-6.20208287803
surveillance,-9.28584658724,13.7384231752
barasingh,-10.2747892877,-3.57807383562
uncounted,-3.25565581804,-6.32200497509
packages,-18.3722574677,1.05478971936
batty,-2.39205380491,2.64194517771
padlock,-15.6646157746,1.95321113149
jabbered,-9.78149522846,2.16781584758
supposititious,8.74784462672,-3.75196278778
goddesses,0.509411016628,-15.7217536232
netinfo,-0.751718845944,17.3962005278
scares,-12.1298125712,13.0653698005
particularly,-7.16598708193,12.1492572228
eliza,-3.69080129204,-11.8837586874
oder,20.1128005453,6.77205795086
basque,5.77512170463,14.5740926943
apr,7.27813070145,10.5749402902
chainsaw,-11.9966006029,6.96826780659
simeon,3.87960116025,-22.7213467502
lillia,-5.81335569225,-11.2733045888
showdown,-8.47552764774,12.5842270219
frights,4.50876315826,-13.4467968227
trotter,-5.7438643506,1.46810300331
peppered,-15.5012024348,1.20654352439
perked,-14.178283541,8.31129854352
applied,-5.67440558731,11.5419320481
gimcrack,-8.66135923599,-0.833996766545
shifris,-9.97232376623,14.6646017091
shanley,-5.3269156002,7.52819844225
railings,-12.8195679807,-4.77120747351
fosco,6.04919684465,1.84557732289
financing,18.2034423939,12.0562960003
bear,-10.763413393,17.1132217197
eked,0.19961916244,-11.5223187469
doneness,-16.7224799195,-8.66557970808
ckzahlbar,19.9122242181,8.60176395313
horrific,-8.13771896436,10.8541015274
source,-5.56787093635,14.0628121997
pennies,-7.10294192182,6.91989415545
borneo,2.71520050925,10.3606556232
hitchhike,-11.1681080542,6.33969907378
bernommen,19.3051930094,6.69973215447
rifling,-14.8593582716,2.85135955092
trayne,11.1670569577,-6.59767935488
spruced,-12.3543602951,11.6235677583
dya,-12.620739118,10.2398250397
tatty,-17.2002887419,-2.14092471979
beatrix,9.36360864282,4.97623256211
adah,3.37070915493,-22.298914122
jordanian,5.05025359501,19.47647388
knightsbridge,-10.0540124162,-1.57530039252
unfrei,20.6675306304,11.510824682
alphabets,1.82231797728,8.2950119913
watchword,5.03312416479,-3.89491738675
doddering,-12.0293511324,10.3616956797
lettuce,-21.4967519387,2.7993841624
adverbs,12.2036158698,-1.95845388006
cheap,-17.963746,-0.195194883011
cloath,3.61697374231,-15.1499196342
exceeding,12.0755338243,-11.4759689345
unambitious,13.1617037853,-8.20112244964
astuteness,7.78135338629,-4.19135289392
unsound,8.79988163396,-8.59212957386
dyson,-4.79035233248,7.07862682156
deluging,-14.638837937,-8.30334653031
antiquary,9.08974450193,0.352858823613
elim,4.34762727463,-21.1719925068
chester,3.61294432174,2.87620553689
clandestine,14.6515495739,-7.30637089421
disclosures,7.50029755812,-3.42996412034
scandals,8.22686392142,-2.95679236181
ussr,3.24614345399,12.916421747
hydrographic,6.83968957003,14.9835215647
uterung,19.4334019608,9.00048678129
foal,-9.00783452247,-3.79758811933
celoron,-0.526156586731,-2.58580534187
yesss,-11.777766086,9.61251528916
sailor,-19.5008676155,-3.17128246849
sets,-0.74522880995,4.77599316522
petticoat,-16.6170354886,-3.20089946339
belhomme,-6.34284913097,-13.9896043634
flea,-6.18259254063,0.693128946952
garrote,-13.1948333567,0.593656145929
duport,4.93569514701,2.60664402417
herstellungsland,17.6433700102,11.7036690858
versicherungsbestimmungen,19.2058069797,10.4823266215
jaye,-12.9747691541,6.40241070126
hypsicephalic,0.272808271945,9.03276741298
vole,10.5233016995,2.88946156466
timesharing,-1.41800469104,16.6018774995
harebell,-12.5844829649,-7.43041291359
temporary,-0.0230556701191,0.140850493323
chronological,11.0503920065,-0.213539277175
verrichten,16.9071099545,10.120497035
cyrus,1.59429797514,-19.5079921608
punctilio,7.04433315217,-6.0061363672
verve,3.98259265582,-9.0505770454
pp,8.06090961425,11.7948456983
foregoes,13.6576281258,-2.02880501796
buch,18.1645428273,5.79109796913
constituencies,10.0802605122,14.8776170693
futility,13.596803941,-10.8115223317
mercies,6.71016951027,-16.8398376565
brooded,0.689658479106,-9.73537829897
impositions,11.3115397456,-7.4581318929
arrow,-13.0692294838,2.14952855139
reciprocally,13.6022551766,-3.85358553878
skylar,-15.4660837518,9.99540846448
generating,-3.40985387595,12.6311376727
umsicht,14.8688828643,12.360006976
larico,-2.79577103791,-14.1473815104
shorebirds,0.142351378579,10.4473442344
unsheathed,-12.9531218991,1.15814574757
unvisited,-9.98800189083,-11.2166231414
crushed,-15.862709074,-7.04005157745
gourmand,3.09984321752,-12.2772082517
closeted,-1.89043876112,-9.60511321436
unseizable,0.907943684543,-6.80968573554
unenlightened,10.3938974372,-5.08522957568
bemerkung,15.8513208998,8.37198811986
venders,-9.95926791512,-5.56301406179
